Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class,1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Local Authority,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Vehicle Number,Type of Vehicle
2140559,399768,426813,3,04/01/2015,1200,3,A646,2,1,1,Calderdale,1,3,1,18,2,1
2140559,399768,426813,3,04/01/2015,1200,3,A646,2,1,1,Calderdale,1,3,1,19,3,1
2160679,408489,425638,1,06/01/2015,1130,6,U,2,1,2,Calderdale,2,3,1,2,1,8
2170249,401935,421768,1,07/01/2015,848,6,U,2,1,1,Calderdale,1,2,1,64,1,21
2170356,408520,424386,2,07/01/2015,826,6,U,2,1,1,Calderdale,1,3,1,29,2,9
2191751,393054,422795,2,09/01/2015,2335,3,A6033,4,1,1,Calderdale,1,2,1,64,1,9
21A1636,416898,422062,2,10/01/2015,2330,3,A644,2,4,5,Calderdale,1,3,1,44,2,9
21B0663,408517,424083,2,11/01/2015,1110,6,U,4,4,6,Calderdale,2,3,2,44,1,9
21B0663,408517,424083,2,11/01/2015,1110,6,U,4,4,6,Calderdale,2,3,2,22,1,9
21B0663,408517,424083,2,11/01/2015,1110,6,U,4,4,6,Calderdale,2,3,1,8,1,9
21B0663,408517,424083,2,11/01/2015,1110,6,U,4,4,6,Calderdale,2,3,2,20,1,9
21B0801,409525,424563,2,11/01/2015,1430,6,U,2,1,1,Calderdale,1,3,1,18,2,9
21C0506,416338,422106,2,12/01/2015,1118,1,M62,2,1,5,Calderdale,1,3,1,30,1,9
21C0506,416338,422106,2,12/01/2015,1118,1,M62,2,1,5,Calderdale,1,3,2,32,2,9
21E0836,409029,425017,2,14/01/2015,1557,6,U,2,1,1,Calderdale,2,3,2,83,2,9
21E0836,409029,425017,2,14/01/2015,1557,6,U,2,1,1,Calderdale,1,3,1,42,1,8
21E0836,409029,425017,2,14/01/2015,1557,6,U,2,1,1,Calderdale,2,3,2,20,1,8
21E0836,409029,425017,2,14/01/2015,1557,6,U,2,1,1,Calderdale,1,2,1,82,2,9
21F0915,406694,425513,1,15/01/2015,1615,6,U,1,1,1,Calderdale,3,2,2,13,1,9
21G0303,410612,426873,1,15/01/2015,1515,6,U,2,1,2,Calderdale,3,3,1,66,1,9
